id,InYear,InMonth,InDay,intakedate,intakereason,animalname,breedname,speciesname,AgeYears,AgeMonths,AgeWeeks,animalage,sexname,OutYear,OutDay,OutMonth,movementdate,movementtype,returndate,returnedreason,DeadYear,DeadMonth,DeadDay,deceaseddate,deceasedreason,diedoffshelter,puttosleep
58511,2019,01,10,2019-01-10 12:28:43,Abandoned,Mazey,Pitbull,Dog,2,7,,2 years 7 months.,Female,2019,08,30,2019-08-30 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62059,2019,01,02,2019-01-02 16:57:39,Incompatible with owner lifestyle,Pedro,Staffordshire Bull Terrier,Dog,1,3,,1 year 3 months.,Male,2019,05,10,2019-05-10 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62060,2019,01,03,2019-01-03 12:16:47,Stray,Conrad,Saint Bernard,Dog,3,6,,3 years 6 months.,Male,2019,01,09,2019-01-09 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62063,2019,01,04,2019-01-04 10:22:46,Stray,Sammy,Labrador Retriever/Collie,Dog,6,1,,6 years 1 month.,Female,2019,01,05,2019-01-05 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62064,2019,01,04,2019-01-04 10:57:05,Stray,Coco,Bully Breed Mix/Labrador Retriever,Dog,,8,,8 months.,Female,2019,01,04,2019-01-04 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62072,2019,01,04,2019-01-04 14:36:39,Owner Deceased,Juanita,Chihuahua,Dog,5,0,,5 years 0 months.,Female,2019,01,07,2019-01-07 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62073,2019,01,04,2019-01-04 14:40:45,Owner Deceased,Sophia,"Maltese/Poodle, Toy",Dog,5,0,,5 years 0 months.,Female,2019,01,07,2019-01-07 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62076,2019,01,05,2019-01-05 10:46:49,Stray,Angel,German Shepherd Dog,Dog,2,0,,2 years 0 months.,Female,2019,01,05,2019-01-05 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62080,2019,01,05,2019-01-05 12:12:04,Incompatible with owner lifestyle,Marshall,Hound,Dog,4,5,,4 years 5 months.,Male,2019,01,31,2019-01-31 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62081,2019,01,05,2019-01-05 15:07:25,Stray,Drifter,Bully Breed Mix,Dog,6,6,,6 years 6 months.,Male,2019,06,30,2019-06-30 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62082,2019,01,06,2019-01-06 13:03:09,Stray,Becky,Chihuahua/Mix,Dog,,,15,15 weeks.,Female,2019,01,15,2019-01-15 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62084,2019,01,06,2019-01-06 13:13:02,Stray,Lemon,Beagle,Dog,8,1,,8 years 1 month.,Female,2019,01,19,2019-01-19 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62085,2019,01,06,2019-01-06 14:23:39,Stray,Lucy,Pug/Beagle,Dog,6,0,,6 years 0 months.,Female,2019,01,08,2019-01-08 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62086,2019,01,06,2019-01-06 14:52:57,Stray,Scout,Australian Shepherd/Mix,Dog,,,10,10 weeks.,Male,2019,01,07,2019-01-07 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62092,2019,01,07,2019-01-07 14:24:20,Stray,Bubba,Corgi/German Shepherd Dog,Dog,1,0,,1 year 0 months.,Male,2019,01,22,2019-01-22 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62094,2019,01,08,2019-01-08 13:27:14,Incompatible with owner lifestyle,Muffin,Lhasa Apso/Poodle,Dog,7,0,,7 years 0 months.,Female,2019,01,17,2019-01-17 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62095,2019,01,08,2019-01-08 13:29:56,Incompatible with owner lifestyle,Pepper,Beagle/Australian Shepherd,Dog,11,1,,11 years 1 month.,Female,2019,02,17,2019-02-17 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62096,2019,01,08,2019-01-08 13:31:46,Incompatible with owner lifestyle,Coffee,Lhasa Apso/Poodle,Dog,5,11,,5 years 11 months.,Male,2019,01,19,2019-01-19 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62097,2019,01,08,2019-01-08 13:35:28,Incompatible with owner lifestyle,Lena,Leonberger/Mix,Dog,8,11,,8 years 11 months.,Female,2019,01,19,2019-01-19 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62102,2019,01,09,2019-01-09 10:11:28,Stray,Farrah,Hound/Bully Breed Mix,Dog,,,16,16 weeks.,Female,2019,01,20,2019-01-20 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62103,2019,01,09,2019-01-09 12:23:46,Behavioral Issues,Goliath,Mastiff/Mix,Dog,2,0,,2 years 0 months.,Male,2019,01,23,2019-01-23 00:00:00,Transfer,,Stray,,,,,Court Order/ Legal,0,0
62104,2019,01,09,2019-01-09 13:52:00,Stray,Buddy,Labrador Retriever/Mix,Dog,,,12,12 weeks.,Male,2019,01,09,2019-01-09 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62107,2019,01,11,2019-01-11 10:16:16,Stray,Izzy,Hound/Rottweiler,Dog,,,21,21 weeks.,Female,2019,01,22,2019-01-22 00:00:00,Adoption,2019-01-24 00:00:00,Incompatible with other pets,,,,,Court Order/ Legal,0,0
62107,2019,01,11,2019-01-11 10:16:16,Stray,Izzy,Hound/Rottweiler,Dog,,,21,21 weeks.,Female,2019,01,25,2019-01-25 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62111,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Pretty Boy Floyd,Labrador Retriever/Mountain Cur,Dog,,,10,10 weeks.,Male,2019,01,15,2019-01-15 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62112,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Jessie James,Labrador Retriever/Mountain Cur,Dog,,,10,10 weeks.,Female,2019,01,15,2019-01-15 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62113,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Baby Face Nelson,Labrador Retriever/Mountain Cur,Dog,,,10,10 weeks.,Female,2019,01,15,2019-01-15 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62114,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Butch Cassidy,Labrador Retriever/Mountain Cur,Dog,,,10,10 weeks.,Male,2019,01,15,2019-01-15 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62115,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Indiana,Labrador Retriever/Mountain Cur,Dog,,8,,8 months.,Female,2019,01,16,2019-01-16 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62116,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Sundance Kid,Labrador Retriever/Mountain Cur,Dog,,,10,10 weeks.,Female,2019,01,16,2019-01-16 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62117,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Ma Barker,Labrador Retriever/Mountain Cur,Dog,,,10,10 weeks.,Female,2019,01,16,2019-01-16 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62118,2019,01,11,2019-01-11 17:55:32,Litter relinquishment,Pretty Pants Bandit,Labrador Retriever/Mountain Cur,Dog,,,10,10 weeks.,Female,2019,01,16,2019-01-16 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62120,2019,01,12,2019-01-12 12:09:22,Sick/Injured,HBC Beagle - Minnie,Beagle,Dog,33,0,,33 years 0 months.,Female,2019,01,12,2019-01-12 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62121,2019,01,12,2019-01-12 15:44:00,Stray,Nugget,Yorkshire Terrier,Dog,33,0,,33 years 0 months.,Male,2019,01,13,2019-01-13 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62124,2019,01,14,2019-01-14 07:17:55,Police Assist,Dirt Ball,Rottweiler,Dog,1,1,,1 year 1 month.,Female,2019,01,14,2019-01-14 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62130,2019,01,14,2019-01-14 14:31:13,Landlord issues,Sailor,Bully Breed Mix,Dog,,8,,8 months.,Male,2019,01,25,2019-01-25 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62132,2019,01,14,2019-01-14 16:39:48,Rabies Monitoring,Roscoe,Bully Breed Mix,Dog,1,1,,1 year 1 month.,Male,2019,01,24,2019-01-24 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62137,2019,01,15,2019-01-15 16:18:30,Stray,Annabelle,Hound,Dog,,7,,7 months.,Female,2019,04,16,2019-04-16 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
